day,Komkommer,Courgette,SnoepVegetable tomaat,Paprika Mix,Paprika,Geschrapte worteltjes,Basis Sperziebonen,Basis Rode kool met appel,Basis worteltjes fijn,Basis erwten zeer fijn,Basis sperziebonen,Biologische courgette,Biologische Bloemkool,Biologische knoflook,Biologische pompoen,Biologische kikkererwten,Biologische prei,Biologische rode kool,Biologische cherry tomaten,Biologische brocolli,Boerenkool gesneden,Spruiten,Witlof,Rucola,Nasi bami Vegetable,Snijbonen,Buitenbeentjes puntpaprika,Basis Maiskorrels,Wortelen,Pompoen stukjes,Verse zuurkool,Buitenbeentjes komkommer,Buitenbeentjes paprika,SnoepVegetable worteltjes,WokVegetable thais,Mandarijenen,Bananen,Chiquita bananen,Pitloze witte druiven,Zoete kleine appeltjes,Pink lady appels,Pitloze rode druiven,Elstar,Conference,Biologische banane,Citroenen,Mango,Blauwe bessen,Aardbeien,Jonagold,Mandarijnen groot,Mango eetrijp,Buitenbeetjes appels,Limoenen,Granny smith,Grapefruit rood,Kanzi appelen,Basis annanasstukjes,Biologisch wilde bosbes,Biologische rozijnen,Biologische santana appelen,Pitloze druivenmix,Biologische sinaasappelen,Aardbeien ontkroond,Rundergehakt,Gerookte spekreepjes,Spekreepjes,Mini gourmet hamburgers,Unox Gelderse rookworst,Half om half gehakt,Slavinken,Mini biefstukjes,Rundersoepballetjes,Hamburgers,Mini gourmet kipsatespiesjes,Unox Magere rookworst,Biologische spekreepjes,Sappige gelders rookworst,Biologisch rundergehakt,Varkensbraadworst,Runder riblap Iers,rundergehakt,gerookt onbijtspek,rundervinken,half of half gehakt,Gekruide runderchipolata,Mini gourmet slavink,Mini gourmet varkenshaas,Zigeuner gehaktschnitzel,Veluwse rookworst fijn,Runderbraadworst,Spekblokjes,biologische Hamburger,Mager rundergehakt,Biologische gerookte ontbijtspek,Biefstuk,Biologische runderchipolata,Biologische rundersoepballetjes,Kipblokjes,Kipfilet naturel,Krokante Kipfiletschnitzel,Kipfilet,Zaans volkoren heel,Tijger bruin heel,Zaans volkoren half,meergranen volkoren half,Walkdorn heel,Zaans bruin heel,Tijger volkoren half,Tijger volkoren heel,Mais half,Tijger bruin half,Volkoren heel,Meergranen volkoren heel,Tijger wit half,Vloerbrood meergranen,Vloerbrood volkoren ,Casino wit half,Tijger wit heel,Bruin heel,Zaanse sijnder bruin half,Boerenvolkoren sesam heel,Steiv spelt gesneden,Krenten- en rozijnenbrood half,Zaans volkoren ,Atkins laag koolhydraat volkoren brood half,Bolletje Fries roggebrood,Kaneelbroodjes,Biologisch Vloerbrood meerzaden heel,Basic meergranen heel,Basic wit heel,Basic casino half,Basic volkoren heel,Biologisch volkoren heel,Biologisch bruin heel,Glutenvrij bruin,Muesli-notenbrood,Basic roggebrood,Melkbroodjes,Krenten rozijnenwegge,Amandelkrans,Roomboter chocolade brood,Chinois brioche,Vanille muffins (vers),Basic chocolate chip cookies,Oreo,Bakkersspeculaas,Eierkoeken,Ribbelchips naturel,Ribbelchips paprika,Doritos sweet chili
0,27,22,29,37,28,31,26,25,29,25,25,16,8,13,15,7,15,10,6,10,34,25,33,24,27,34,29,24,27,22,26,27,24,37,26,14,24,21,20,21,16,18,20,16,10,22,26,36,23,14,32,16,23,25,16,21,15,117,11,16,12,18,8,16,23,23,17,7,36,8,14,22,15,14,12,17,0,9,6,17,12,12,16,11,9,16,12,16,8,14,14,12,2,13,3,13,7,3,13,11,12,12,12,11,5,14,16,14,15,15,11,15,17,18,12,17,18,12,14,10,12,8,11,18,14,3,19,27,27,27,20,35,29,22,20,18,17,22,13,15,23,19,19,97,44,119,32,140,33,41,99
3,30,30,24,35,28,39,23,35,20,32,29,13,18,18,17,15,14,13,11,16,28,31,33,28,35,29,36,32,32,33,31,37,34,24,34,13,27,16,43,22,23,22,19,21,15,23,14,40,27,23,12,20,29,21,29,24,23,123,12,24,13,27,13,29,34,16,10,14,21,14,15,15,12,19,10,9,6,17,8,9,10,13,22,10,17,11,11,9,15,13,14,17,4,16,3,12,7,3,11,7,13,7,19,13,16,15,13,19,15,13,24,14,16,9,18,14,13,20,26,16,17,17,13,17,14,20,15,13,23,31,24,42,34,43,35,20,14,36,10,21,25,16,11,87,37,96,46,117,59,24,164
7,30,28,19,26,36,38,23,22,24,34,22,11,10,13,12,12,13,12,20,7,17,29,28,30,37,25,24,22,27,34,36,32,25,25,33,21,15,18,31,20,15,14,26,19,12,23,18,27,21,28,25,32,20,19,16,14,13,102,16,14,17,17,5,28,40,8,13,13,30,13,11,15,12,13,11,11,4,14,9,13,8,15,11,16,13,18,10,10,10,12,14,9,4,15,5,19,3,4,23,14,14,17,14,16,12,9,14,28,17,16,15,14,13,20,17,14,15,16,19,16,21,16,18,15,15,17,13,15,23,27,24,34,19,26,20,17,20,30,20,19,22,14,20,119,27,122,43,112,38,31,102
10,29,28,34,30,43,29,23,22,30,25,25,14,16,20,21,16,11,14,18,15,38,31,18,35,27,33,27,22,37,28,30,19,30,30,30,13,19,19,25,22,21,28,32,21,18,28,20,54,22,18,30,22,20,21,25,29,40,140,25,18,18,24,26,34,28,22,12,15,34,7,12,8,15,10,20,29,4,15,7,10,10,18,15,13,9,8,12,15,17,14,9,13,4,17,6,17,2,7,14,11,14,12,16,12,21,17,25,24,21,18,21,17,13,8,17,10,14,17,16,16,17,15,17,18,13,9,18,6,36,25,14,18,23,24,36,14,17,28,11,13,23,19,17,110,31,97,27,79,20,28,110
14,22,21,44,26,19,29,23,19,18,26,21,11,15,13,19,12,8,8,16,13,41,33,24,17,34,22,21,17,22,24,24,27,24,29,26,29,23,13,18,33,19,28,26,8,14,19,21,36,15,23,25,22,22,16,23,23,15,94,13,14,17,26,17,11,29,8,8,14,34,11,20,7,9,9,21,19,4,19,8,9,12,18,15,18,9,6,16,12,11,11,16,15,4,13,3,16,3,1,9,15,7,12,11,13,28,15,38,19,7,15,20,14,14,20,12,17,20,11,14,11,16,10,21,10,10,11,14,11,23,20,29,22,39,32,18,14,19,20,13,16,14,18,19,95,33,89,30,100,42,40,98
17,33,37,38,26,14,25,21,24,26,31,26,24,12,11,30,17,14,17,16,17,39,29,28,28,31,26,31,28,34,25,32,30,23,24,31,29,18,13,20,19,21,14,18,21,26,26,17,46,24,23,33,14,12,5,17,26,21,132,15,18,22,30,17,16,24,13,17,18,32,15,18,11,7,10,17,18,4,10,11,11,12,14,16,15,12,10,12,17,9,14,9,15,6,12,4,16,6,9,8,13,7,14,20,19,18,16,29,12,22,19,17,25,14,17,4,18,14,5,15,14,14,14,16,12,24,11,13,19,27,28,22,12,32,38,26,24,19,22,16,15,19,12,19,85,36,82,26,105,35,21,101
21,21,22,31,14,28,24,19,9,36,17,18,8,14,9,11,10,12,3,10,8,29,46,25,27,18,15,37,15,56,17,22,25,31,40,23,28,39,26,24,19,34,17,19,21,10,15,19,50,17,18,25,20,17,25,18,17,21,95,13,7,12,18,20,24,30,17,13,12,35,15,13,10,13,15,12,19,1,13,9,17,13,16,11,18,9,20,14,14,14,15,17,13,3,9,2,14,7,6,12,16,15,12,13,17,19,15,17,12,19,22,21,13,23,19,20,22,15,19,14,31,12,8,16,20,21,17,21,18,22,26,19,17,18,25,27,11,12,25,14,18,9,18,18,91,30,92,33,144,32,40,83
24,18,26,27,37,27,30,15,18,44,27,25,23,26,22,20,15,18,18,12,19,24,45,26,29,30,25,33,22,63,32,29,33,24,20,21,29,37,27,30,22,50,26,19,23,12,5,16,45,17,25,33,28,23,22,25,16,18,137,23,13,11,35,33,13,29,17,14,22,35,15,8,6,22,18,14,19,6,10,11,16,13,14,4,9,12,12,14,16,12,18,20,17,4,14,5,23,5,1,11,10,18,8,16,17,18,19,14,26,16,17,16,18,20,17,14,11,14,23,19,27,17,23,11,18,20,17,21,15,28,22,7,18,24,42,35,15,16,22,21,18,30,15,16,108,32,86,34,144,38,32,95
28,26,9,23,21,28,32,28,31,28,24,26,5,12,13,15,11,13,8,5,8,29,23,23,22,25,32,15,24,21,18,24,23,29,19,28,33,19,21,22,12,11,16,16,16,7,20,28,33,25,17,25,16,20,12,20,16,15,90,13,11,11,19,11,15,22,8,14,15,28,19,15,9,10,16,24,19,2,11,13,10,21,6,10,8,17,8,15,24,15,7,12,9,1,9,3,15,4,1,4,11,11,16,20,31,13,14,14,9,16,12,12,12,14,15,13,17,22,15,10,14,23,17,14,12,13,11,12,16,23,33,26,27,24,21,31,9,8,28,13,13,10,18,11,122,49,103,40,113,33,31,97
31,26,26,33,30,23,35,23,37,38,25,22,19,11,15,17,20,7,14,15,13,28,28,19,18,27,30,24,20,32,33,24,22,21,31,25,26,13,26,24,21,20,22,21,18,15,23,16,29,30,19,30,12,15,28,24,29,19,119,12,10,11,19,11,21,25,10,10,11,29,12,19,12,14,21,8,8,4,14,7,15,9,17,20,9,17,15,19,11,19,11,11,7,4,14,4,21,4,2,7,10,12,8,10,18,15,27,16,10,22,16,20,16,11,11,13,16,19,12,21,16,16,22,7,13,13,14,16,14,28,30,26,19,29,28,28,14,16,15,13,14,16,9,26,94,50,124,30,114,32,36,104
